"Label (Grouping)","United States!!Total!!Estimate","United States!!Percent!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate"
"Total population","326,569,308","(X)","160,818,530","(X)","165,750,778","(X)"
"    AGE","","","","","",""
"        Under 5 years","19,650,192","6.0%","10,051,876","6.3%","9,598,316","5.8%"
"        5 to 9 years","19,979,039","6.1%","10,191,107","6.3%","9,787,932","5.9%"
"        10 to 14 years","21,107,910","6.5%","10,797,748","6.7%","10,310,162","6.2%"
"        15 to 19 years","21,174,955","6.5%","10,816,797","6.7%","10,358,158","6.2%"
"        20 to 24 years","21,820,378","6.7%","11,180,449","7.0%","10,639,929","6.4%"
"        25 to 29 years","23,262,155","7.1%","11,850,355","7.4%","11,411,800","6.9%"
"        30 to 34 years","22,223,010","6.8%","11,224,653","7.0%","10,998,357","6.6%"
"        35 to 39 years","21,346,055","6.5%","10,658,796","6.6%","10,687,259","6.4%"
"        40 to 44 years","20,000,622","6.1%","9,966,088","6.2%","10,034,534","6.1%"
"        45 to 49 years","20,569,969","6.3%","10,174,825","6.3%","10,395,144","6.3%"
"        50 to 54 years","20,970,767","6.4%","10,320,033","6.4%","10,650,734","6.4%"
"        55 to 59 years","21,785,721","6.7%","10,583,556","6.6%","11,202,165","6.8%"
"        60 to 64 years","20,315,718","6.2%","9,737,984","6.1%","10,577,734","6.4%"
"        65 to 69 years","17,301,772","5.3%","8,147,845","5.1%","9,153,927","5.5%"
"        70 to 74 years","13,246,178","4.1%","6,115,586","3.8%","7,130,592","4.3%"
"        75 to 79 years","9,113,714","2.8%","4,083,235","2.5%","5,030,479","3.0%"
"        80 to 84 years","6,079,337","1.9%","2,558,706","1.6%","3,520,631","2.1%"
"        85 years and over","6,621,816","2.0%","2,358,891","1.5%","4,262,925","2.6%"
"    SELECTED AGE CATEGORIES","","","","","",""
"        5 to 14 years","41,086,949","12.6%","20,988,855","13.1%","20,098,094","12.1%"
"        15 to 17 years","12,559,597","3.8%","6,416,023","4.0%","6,143,574","3.7%"
"        Under 18 years","73,296,738","22.4%","37,456,754","23.3%","35,839,984","21.6%"
"        18 to 24 years","30,435,736","9.3%","15,581,223","9.7%","14,854,513","9.0%"
"        15 to 44 years","129,827,175","39.8%","65,697,138","40.9%","64,130,037","38.7%"
"        16 years and over","261,649,873","80.1%","127,648,380","79.4%","134,001,493","80.8%"
"        18 years and over","253,272,570","77.6%","123,361,776","76.7%","129,910,794","78.4%"
"        21 years and over","240,169,127","73.5%","116,650,048","72.5%","123,519,079","74.5%"
"        60 years and over","72,678,535","22.3%","33,002,247","20.5%","39,676,288","23.9%"
"        62 years and over","64,136,076","19.6%","28,887,077","18.0%","35,248,999","21.3%"
"        65 years and over","52,362,817","16.0%","23,264,263","14.5%","29,098,554","17.6%"
"        75 years and over","21,814,867","6.7%","9,000,832","5.6%","12,814,035","7.7%"
"    SUMMARY INDICATORS","","","","","",""
"        Median age (years)","38.2","(X)","37.0","(X)","39.6","(X)"
"        Sex ratio (males per 100 females)","97.0","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","62.5","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","26.1","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.5","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","",""
"        Sex","(X)","0.1%","(X)","(X)","(X)","(X)"
"        Age","(X)","1.6%","(X)","(X)","(X)","(X)"
